date,val
21-Jun-16,1.1314
22-Jun-16,1.1283
23-Jun-16,1.1389
24-Jun-16,1.1066
27-Jun-16,1.0998
28-Jun-16,1.1073
29-Jun-16,1.109
30-Jun-16,1.1102
1-Jul-16,1.1135
5-Jul-16,1.1146
6-Jul-16,1.1069
7-Jul-16,1.108
8-Jul-16,1.107
11-Jul-16,1.1049
12-Jul-16,1.1092
13-Jul-16,1.1072
14-Jul-16,1.1157
15-Jul-16,1.1128
18-Jul-16,1.1053
19-Jul-16,1.1035
20-Jul-16,1.1013
21-Jul-16,1.1015
22-Jul-16,1.1014
25-Jul-16,1.0982
26-Jul-16,1.0997
27-Jul-16,1.0991
28-Jul-16,1.109
29-Jul-16,1.1113
1-Aug-16,1.1164
2-Aug-16,1.1193
3-Aug-16,1.12
4-Aug-16,1.1136
5-Aug-16,1.1156
8-Aug-16,1.1087
9-Aug-16,1.1078
10-Aug-16,1.1184
11-Aug-16,1.1153
12-Aug-16,1.1158
15-Aug-16,1.118
16-Aug-16,1.1295
17-Aug-16,1.1276
18-Aug-16,1.1321
19-Aug-16,1.1326
22-Aug-16,1.1306
23-Aug-16,1.1339
24-Aug-16,1.1268
25-Aug-16,1.129
26-Aug-16,1.129
29-Aug-16,1.117
30-Aug-16,1.1168
31-Aug-16,1.1132
1-Sep-16,1.1146
2-Sep-16,1.1193
6-Sep-16,1.1159
7-Sep-16,1.1237
8-Sep-16,1.1296
9-Sep-16,1.1268
12-Sep-16,1.1226
13-Sep-16,1.1247
14-Sep-16,1.1218
15-Sep-16,1.1254
16-Sep-16,1.1226
19-Sep-16,1.1165
20-Sep-16,1.1184
21-Sep-16,1.115
22-Sep-16,1.1238
23-Sep-16,1.1214
26-Sep-16,1.1262
27-Sep-16,1.122
28-Sep-16,1.1225
29-Sep-16,1.1221
30-Sep-16,1.1161
3-Oct-16,1.1236
4-Oct-16,1.1161
5-Oct-16,1.1211
6-Oct-16,1.1185
7-Oct-16,1.114
11-Oct-16,1.1079
12-Oct-16,1.102
13-Oct-16,1.1038
14-Oct-16,1.1002
17-Oct-16,1.0994
18-Oct-16,1.0993
19-Oct-16,1.0979
20-Oct-16,1.098
21-Oct-16,1.0886
24-Oct-16,1.0891
25-Oct-16,1.0872
26-Oct-16,1.0925
27-Oct-16,1.0927
28-Oct-16,1.0922
31-Oct-16,1.0946
1-Nov-16,1.1025
2-Nov-16,1.1095
3-Nov-16,1.1064
4-Nov-16,1.1093
7-Nov-16,1.1062
8-Nov-16,1.1038
9-Nov-16,1.1022
10-Nov-16,1.0895
11-Nov-16,1.0904
14-Nov-16,1.0777
15-Nov-16,1.0765
16-Nov-16,1.0702
17-Nov-16,1.0717
18-Nov-16,1.0629
21-Nov-16,1.0631
22-Nov-16,1.0617
23-Nov-16,1.0602
28-Nov-16,1.0588
29-Nov-16,1.0576
30-Nov-16,1.0635
1-Dec-16,1.0627
2-Dec-16,1.0642
5-Dec-16,1.0702
6-Dec-16,1.0734
7-Dec-16,1.073
8-Dec-16,1.0762
9-Dec-16,1.0559
12-Dec-16,1.0596
13-Dec-16,1.061
14-Dec-16,1.0644
15-Dec-16,1.0419
16-Dec-16,1.0439
19-Dec-16,1.0422
20-Dec-16,1.0364
21-Dec-16,1.0421
22-Dec-16,1.0444
23-Dec-16,1.0446
27-Dec-16,1.0445
28-Dec-16,1.0401
29-Dec-16,1.0453
30-Dec-16,1.0541
3-Jan-17,1.0385
4-Jan-17,1.0437
5-Jan-17,1.0501
6-Jan-17,1.0589
9-Jan-17,1.0516
10-Jan-17,1.0567
11-Jan-17,1.0503
12-Jan-17,1.0679
13-Jan-17,1.0661
17-Jan-17,1.0684
18-Jan-17,1.0664
19-Jan-17,1.0668
23-Jan-17,1.0715
24-Jan-17,1.0748
25-Jan-17,1.0743
26-Jan-17,1.07
27-Jan-17,1.0681
30-Jan-17,1.063
31-Jan-17,1.0755
1-Feb-17,1.079
2-Feb-17,1.0808
3-Feb-17,1.0741
6-Feb-17,1.0712
7-Feb-17,1.0675
8-Feb-17,1.0665
9-Feb-17,1.0692
10-Feb-17,1.0629
13-Feb-17,1.0629
14-Feb-17,1.0623
15-Feb-17,1.0555
16-Feb-17,1.0652
17-Feb-17,1.065
21-Feb-17,1.0537
22-Feb-17,1.0513
23-Feb-17,1.0573
24-Feb-17,1.0609
27-Feb-17,1.0587
28-Feb-17,1.0597
1-Mar-17,1.0533
2-Mar-17,1.0514
3-Mar-17,1.0565
6-Mar-17,1.0592
7-Mar-17,1.0576
8-Mar-17,1.0556
9-Mar-17,1.0551
10-Mar-17,1.0606
13-Mar-17,1.0663
14-Mar-17,1.0631
15-Mar-17,1.0622
16-Mar-17,1.0726
17-Mar-17,1.0737
20-Mar-17,1.0752
21-Mar-17,1.0802
22-Mar-17,1.0807
23-Mar-17,1.0786
24-Mar-17,1.0805
27-Mar-17,1.0889
28-Mar-17,1.0859
29-Mar-17,1.0748
30-Mar-17,1.0737
